CSHT_QNM_00047,SBM Power 17KVA 1P,EMERSON PS48300-3B/2900,NETSURE 731 A41,Narada 2V-500Ah,Posmax 2V-300Ah
CSHT_QNM_00048,BRUNO 30KVA 3P,ZTE,AGISION,Narada 2V-440Ah,Posmax 2V-300Ah
CSHT_QNM_00049,KUBOTA 8 KVA 1P,AGISON,0,Posmax 2V-300Ah,0
CSHT_QNM_00050,HOATHANG 10KVA 1P,NETSURE 731 A41,0,Posmax 2V-300Ah,0
CSHT_QNM_00051,HOATHANG 10KVA 1P,NETSURE 731 A41,0,Posmax 2V-300Ah,0
CSHT_QNM_00052,KAMA 5KVA 1P,EMERSON PS48300-3B/2900,0,Narada 2V-500Ah,0
CSHT_QNM_00053,KUBOTA 8 KVA 1P,EMERSON PS48300-3B/2900,0,Narada 2V-500Ah,0
CSHT_QNM_00054,BRUNO 30KVA 3P,NETSURE 731 A41,NETSURE 731 A41,Posmax 2V-300Ah,K&V 12V-150AH
CSHT_QNM_00055,KAMA 5KVA 1P,NETSURE 731 A41,0,Posmax 2V-300Ah,0
CSHT_QNM_00056,KAMA 8.5KVA 1P,EMERSON PS48300-3B/2900-X1,0,K&V 12V-150AH,0
CSHT_QNM_00057,KAMA 5KVA 1P,EMERSON PS48300-3B/2900-X1,0,Narada 2V-500Ah,0
CSHT_QNM_00058,Deutz 20KVA 1P,EMERSON PS48300-3B/2900-X1,NETSURE 731 A41,Posmax 2V-300Ah,Posmax 2V-300Ah
CSHT_QNM_00059,KAMA 5KVA 1P,EMERSON PS48300-3B/2900-X1,0,Vision 12v-200Ah,0
CSHT_QNM_00060,HOATHANG 10KVA 1P,ZTE,0,Vision 12v-200Ah,0
CSHT_QNM_00061,KAMA 5KVA 1P,EMERSON PS48300-3B/2900,0,Posmax 12V-200Ah,0
CSHT_QNM_00062,0,ZTE,0,Posmax 2V-300Ah,0
CSHT_QNM_00063,SDMO 30KVA 3P,ZTE,EMERSON PS48300-3B/2900,K&V 12V-150AH,Posmax 2V-300Ah
CSHT_QNM_00064,HONDA 5KVA 1P,EMERSON PS48300-3B/2900,0,Posmax 12V-150Ah,0
CSHT_QNM_00065,HUYNDAI 5KVA 1P,NETSURE 731 A41,0,Narada 2V-500Ah,0
CSHT_QNM_00066,KAMA 5KVA 1P,ZTE,0,Posmax 12V-200Ah,0
CSHT_QNM_00067,KAMA 5KVA 1P,ZTE,0,Vision 12v-200Ah,0
CSHT_QNM_00068,KAMA 5KVA 1P,EMERSON PS48300-3B/2900-X1,0,Posmax 2V-300Ah,0
CSHT_QNM_00069,KAMA 5KVA 1P,ZTE,0,Shoto 2V-200Ah,0
CSHT_QNM_00070,BRUNO 30KVA 3P,EMERSON PS48300-3B/2900-X1,NETSURE 731 A41,Posmax 2V-300Ah,Posmax 2V-300Ah
CSHT_QNM_00071,KAMA 5KVA 1P,ZTE,0,K&V 12V-200Ah,0
CSHT_QNM_00072,KAMA 5KVA 1P,NETSURE 731 A41,0,FIAM 2V-400AH,0
CSHT_QNM_00073,SDMO 22KVA 3P,EMERSON PS48300-3B/2900,NETSURE 731 A41,Narada 2V-500Ah,0
CSHT_QNM_00074,HTGEN 10KVA 1P,EMERSON PS48300-3B/2900-X1,0,Posmax 2V-300Ah,0
CSHT_QNM_00075,KAMA 5KVA 1P,NETSURE 731 A41,0,Posmax 2V-300Ah,0
CSHT_QNM_00076,KAMA 5KVA 1P,NETSURE 731 A41,NETSURE 731 A41,Leoch 2V-400Ah,0
CSHT_QNM_00077,KAMA 5KVA 1P,ZTE,0,Shoto 2V-200Ah,0
CSHT_QNM_00078,KAMA 5KVA 1P,ZTE,0,Leoch 12V-200Ah,0
CSHT_QNM_00079,KAMA 5KVA 1P,NETSURE 731 A41,0,Phoenix 2V-440Ah,0
CSHT_QNM_00080,HUUTOAN 30KVA 3P,EMERSON PS48300-3B/2900-X1,NETSURE 731 A41,Phoenix 12V-200Ah,Posmax 2V-300Ah
CSHT_QNM_00081,BRUNO 30KVA 3P,NETSURE 731 A41,0,0,0
CSHT_QNM_00082,HOATHANG 10KVA 1P,EMERSON PS48300-3B/2900-X1,NETSURE 731 A41,Posmax 12V-200Ah,Shoto 12V-100Ah
CSHT_QNM_00083,VIETGEN 50KVA 3P,EMERSON PS48300-3B/2900-X1,EMERSON 48100 2A/25,Posmax 2V-300Ah,K&V 12V-150AH
CSHT_QNM_00084,Misubishi 30KVA 3P,EMERSON PS48300-3B/2900-X1,EMERSON 48100 2A/25,Narada 2V-260AH,Phoenix 12V-200Ah
CSHT_QNM_00085,HOATHANG 10KVA 1P,NETSURE 731 A41,0,Narada 2V-500Ah,0
CSHT_QNM_00086,KAMA 5KVA 1P,NETSURE 731 A41,0,Posmax 12V-200Ah,0
CSHT_QNM_00087,KAMA 5KVA 1P,ZTE,0,Vision 12v-200Ah,0
CSHT_QNM_00088,BRUNO 30KVA 3P,EMERSON PS48300-3B/2900,NETSURE 731 A41,Narada 2V-500Ah,Posmax 2V-300Ah
CSHT_QNM_00089,KUBOTA 8 KVA 1P,EMERSON PS48300-3B/2900,0,Narada 2V-500Ah,0
CSHT_QNM_00090,KAMA 5KVA 1P,EMERSON PS48300-3B/2900,0,Narada 2V-500Ah,0
CSHT_QNM_00091,KAMA 5KVA 1P,ZTE,0,Posmax 2V-300Ah,0
